datetime,low,high,open,close,volumefrom,volumeto
2021-03-18,1.216,1.88,1.54,1.23,106629898.55,148469055.33
2021-03-19,1.181,1.396,1.23,1.308,166658507.55,218536555.2
2021-03-20,1.2,1.345,1.308,1.201,117215963.52,148457227.06
2021-03-21,1.161,1.246,1.201,1.188,49064362.4,59207915.49
2021-03-22,1.07,1.208,1.188,1.103,71469938.31,82556817.37
2021-03-23,1.082,1.174,1.103,1.118,62878652.02,71047483.57
2021-03-24,1.04,1.169,1.118,1.067,59889836.59,66744994.32
2021-03-25,1.044,1.155,1.067,1.096,71377242.16,78713272.74
2021-03-26,1.094,1.287,1.096,1.214,73745757.07,88368932.43
2021-03-27,1.157,1.242,1.214,1.177,47923717.62,57144553.64
2021-03-28,1.167,1.219,1.177,1.19,39099166.73,46378893.29
2021-03-29,1.178,1.229,1.19,1.203,43471602.2,52277539.02
2021-03-30,1.189,1.236,1.203,1.214,45176667.11,54841776.88
2021-03-31,1.153,1.214,1.214,1.193,45494567.33,54098284.59
2021-04-01,1.171,1.208,1.193,1.184,36842053.16,43863629.28
2021-04-02,1.18,1.245,1.184,1.191,45706769.96,54976083.56
2021-04-03,1.161,1.241,1.191,1.164,51681666.91,62373853.38
2021-04-04,1.152,1.194,1.164,1.182,25061193.73,29511893.63
2021-04-05,1.161,1.226,1.182,1.212,43263805.66,51567999.1
2021-04-06,1.191,1.342,1.212,1.257,91644956.18,115367686.98
2021-04-07,1.16,1.291,1.257,1.175,60930156.15,73864827.47
2021-04-08,1.17,1.229,1.175,1.22,34901048.37,42043847.96
2021-04-09,1.192,1.23,1.22,1.203,36252890.19,43831643.08
2021-04-10,1.195,1.252,1.203,1.218,43156667.15,52603404.64
2021-04-11,1.199,1.29,1.218,1.265,60569061.79,75589170.5
2021-04-12,1.264,1.348,1.265,1.315,81402849.96,106244766.09
2021-04-13,1.283,1.437,1.315,1.414,104171409.13,143135910.53
2021-04-14,1.349,1.559,1.414,1.451,178796472.0,260242289.78
2021-04-15,1.411,1.498,1.451,1.48,86951329.97,127296379.95
2021-04-16,1.34,1.522,1.48,1.413,123840398.92,176270979.62
2021-04-17,1.36,1.46,1.413,1.377,68299999.39,96154167.92
2021-04-18,1.13,1.392,1.377,1.28,162318050.41,203592130.11
2021-04-19,1.17,1.328,1.28,1.196,89753007.84,111292235.4
2021-04-20,1.124,1.284,1.196,1.269,102388440.7,121820228.24
2021-04-21,1.196,1.289,1.269,1.204,74010116.31,92348313.1
2021-04-22,1.12,1.28,1.204,1.146,102691576.41,123464827.43
2021-04-23,0.991,1.169,1.146,1.16,192087824.74,207228649.32
2021-04-24,1.094,1.198,1.16,1.105,64659652.49,73531006.83
2021-04-25,1.02,1.148,1.105,1.093,51403665.39,56408756.31
2021-04-26,1.081,1.254,1.093,1.239,74614548.83,89907546.78
2021-04-27,1.224,1.336,1.239,1.308,67635192.94,87090839.51
2021-04-28,1.235,1.35,1.308,1.338,71375907.51,93466983.44
2021-04-29,1.268,1.412,1.338,1.308,93375810.98,124861266.36
2021-04-30,1.289,1.372,1.308,1.356,55481173.69,74436337.95
2021-05-01,1.31,1.37,1.356,1.354,43727458.37,58713843.92
2021-05-02,1.296,1.357,1.354,1.328,31208763.9,41520088.83
2021-05-03,1.322,1.382,1.328,1.363,55646914.49,75331737.6
2021-05-04,1.258,1.368,1.363,1.272,85924216.57,112272015.09
2021-05-05,1.261,1.5,1.272,1.483,144130204.41,201962331.45
2021-05-06,1.43,1.705,1.483,1.65,239367347.32,380492132.05
2021-05-07,1.53,1.75,1.65,1.655,145956278.22,241312499.83
2021-05-08,1.565,1.657,1.655,1.625,85188457.28,137389757.85
2021-05-09,1.577,1.836,1.625,1.77,164919497.48,288240463.52
2021-05-10,1.535,1.827,1.77,1.645,171487064.36,295441559.13
2021-05-11,1.598,1.78,1.645,1.766,142822962.06,243031390.13
2021-05-12,1.54,1.823,1.766,1.567,161593956.04,279302813.2
2021-05-13,1.5,2.1,1.567,1.956,399304513.8,742583654.36
2021-05-14,1.814,2.046,1.956,2.011,194638498.66,373553199.37
2021-05-15,1.967,2.49,2.011,2.193,380636022.42,848796698.95
2021-05-16,2.002,2.47,2.193,2.31,323707586.74,722503185.43
2021-05-17,1.91,2.332,2.31,2.032,332519168.32,694753566.02
2021-05-18,1.976,2.152,2.032,2.005,177523325.9,363765560.06
2021-05-19,1.05,2.031,2.005,1.492,708126731.14,1163589466.91
2021-05-20,1.333,1.97,1.492,1.806,335512736.93,572521015.07
2021-05-21,1.317,1.874,1.806,1.552,307315756.9,487344287.62
2021-05-22,1.367,1.601,1.552,1.465,155738930.97,232942258.19
2021-05-23,1.06,1.54,1.465,1.318,362911913.98,453237067.19
2021-05-24,1.259,1.6,1.318,1.55,255961229.19,375126335.99
2021-05-25,1.437,1.65,1.55,1.555,193646460.6,298618740.86
2021-05-26,1.554,1.833,1.555,1.781,224330520.17,383871034.24
