datetime,low,high,open,close,volumefrom,volumeto
2018-01-17,757.0,1164.4,1080.0,1028.06,791710.8,736027535.89
2018-01-18,951.0,1100.0,1028.06,1025.78,336528.66,350676894.63
2018-01-19,994.4,1093.0,1025.78,1037.45,158648.34,164823297.11
2018-01-20,1036.08,1164.97,1037.45,1150.02,158694.23,176404493.33
2018-01-21,1011.0,1151.0,1150.02,1047.13,147787.86,158124230.09
2018-01-22,917.0,1080.0,1047.13,999.68,204309.19,202377929.3
2018-01-23,905.0,1019.0,999.68,984.03,201639.94,196387474.02
2018-01-24,952.68,1056.99,984.03,1056.99,149999.5,151249762.76
2018-01-25,1014.9,1098.74,1056.99,1040.0,159131.45,168874122.08
2018-01-26,987.54,1071.75,1040.0,1045.57,133679.04,138418187.04
2018-01-27,1030.0,1118.98,1045.57,1100.0,111977.09,120570461.77
2018-01-28,1087.94,1224.0,1100.0,1215.01,164654.9,191902216.48
2018-01-29,1137.2,1221.74,1215.01,1162.27,120882.1,141102467.69
2018-01-30,1025.0,1171.0,1162.27,1054.39,220058.79,239959019.68
2018-01-31,1013.25,1121.03,1054.39,1105.0,167767.66,179717810.57
2018-02-01,930.0,1143.0,1105.0,1017.48,308093.39,321672225.12
2018-02-02,726.43,1020.48,1017.48,911.99,544474.95,487774968.42
2018-02-03,841.61,998.0,911.99,969.4,190127.22,177128763.25
2018-02-04,783.27,970.4,969.4,826.0,206467.92,179475868.51
2018-02-05,615.0,857.5,826.0,693.54,556041.26,400225832.72
2018-02-06,555.56,807.5,693.54,783.83,724904.53,487312087.6
2018-02-07,718.03,864.49,783.83,750.04,342377.72,271817279.01
2018-02-08,747.82,843.0,750.04,812.0,179532.03,144121843.56
2018-02-09,780.0,879.2,812.0,875.99,163125.96,136643584.82
2018-02-10,815.0,908.76,875.99,849.47,153410.82,132968606.31
2018-02-11,780.0,851.77,849.47,811.35,99152.51,81308495.68
2018-02-12,810.99,874.03,811.35,864.4,88046.97,75144272.41
2018-02-13,826.0,867.48,864.4,840.49,69322.43,58507170.74
2018-02-14,839.45,924.7,840.49,920.27,163475.74,145467815.14
2018-02-15,905.49,948.23,920.27,929.3,131225.07,121775173.56
2018-02-16,910.8,944.92,929.3,936.02,79102.83,73649640.03
2018-02-17,934.2,976.79,936.02,975.0,72522.39,69779993.19
2018-02-18,909.1,982.99,975.0,912.41,94527.04,89097714.86
2018-02-19,911.0,956.0,912.41,939.01,51464.5,48264429.44
2018-02-20,875.0,958.0,939.01,884.76,108323.32,100249666.54
2018-02-21,817.01,908.15,884.76,840.34,128091.08,110099877.7
2018-02-22,790.01,870.0,840.34,806.0,101411.56,83281536.33
2018-02-23,786.4,883.0,806.0,854.01,99595.59,83650514.41
2018-02-24,808.37,874.66,854.01,833.2,63968.83,53690578.01
2018-02-25,816.89,849.26,833.2,841.96,38291.2,31990949.42
2018-02-26,835.0,877.5,841.96,867.09,63250.59,54427597.14
2018-02-27,860.97,894.0,867.09,870.98,60578.72,53084539.39
2018-02-28,848.21,887.5,870.98,849.99,58133.38,50595433.19
2018-03-01,845.54,878.0,849.99,868.74,48899.31,42275824.21
2018-03-02,846.97,873.12,868.74,854.31,43776.13,37668051.86
2018-03-03,851.04,866.72,854.31,854.34,33187.93,28546722.25
2018-03-04,836.37,865.0,854.34,861.74,32005.49,27288599.25
2018-03-05,848.83,866.0,861.74,848.83,38758.29,33279801.24
2018-03-06,801.01,849.97,848.83,815.43,57328.2,47392056.25
2018-03-07,724.0,825.0,815.43,751.38,127281.5,96964275.13
2018-03-08,686.0,774.0,751.38,698.83,103420.35,75069227.76
2018-03-09,641.6,734.0,698.83,728.46,162041.5,110795291.46
2018-03-10,680.2,749.0,728.46,683.6,66035.23,47570441.83
2018-03-11,666.0,735.0,683.6,719.79,66887.24,46895001.95
2018-03-12,678.0,739.0,719.79,696.51,71751.41,50752087.42
2018-03-13,679.78,713.45,696.51,690.39,61445.84,42528427.11
2018-03-14,585.52,702.5,690.39,614.63,142152.46,90311315.9
2018-03-15,571.16,621.47,614.63,610.99,143869.0,85999396.91
2018-03-16,585.0,626.13,610.99,600.52,87874.25,53600255.89
2018-03-17,541.11,609.94,600.52,549.79,97573.38,55823645.71
2018-03-18,450.0,574.0,549.79,538.0,409384.42,204673475.08
2018-03-19,516.4,560.9,538.0,555.55,177641.14,96077916.73
2018-03-20,516.53,567.04,555.55,558.0,148891.98,81288804.8
2018-03-21,545.2,589.75,558.0,559.98,115161.56,65506531.66
2018-03-22,517.6,578.73,559.98,539.89,92291.93,50071268.3
2018-03-23,507.84,543.04,539.89,543.04,84295.53,43980747.44
2018-03-24,517.7,545.94,543.04,519.57,51693.57,27673943.67
2018-03-25,510.36,536.0,519.57,522.55,48861.72,25498788.29
2018-03-26,466.1,525.0,522.55,486.75,144436.62,70502721.21
2018-03-27,445.0,493.0,486.75,449.0,153118.55,70690800.36
2018-03-28,439.18,464.89,449.0,445.47,93147.8,41778706.52
2018-03-29,379.1,448.0,445.47,383.29,278952.74,112855998.33
2018-03-30,365.0,411.0,383.29,394.46,278420.31,106543458.14
2018-03-31,388.88,435.0,394.46,394.54,144527.54,58599887.94
2018-04-01,360.0,400.65,394.54,378.18,108554.28,41008442.11
2018-04-02,375.36,393.95,378.18,384.0,89596.37,34497306.85
2018-04-03,380.89,421.59,384.0,416.38,152807.1,61428715.59
2018-04-04,370.08,418.0,416.38,378.43,114689.84,44603966.69
2018-04-05,366.54,387.2,378.43,381.55,90647.05,34236417.33
2018-04-06,363.33,386.21,381.55,370.32,89315.98,33203912.28
2018-04-07,369.2,395.9,370.32,384.61,59741.6,22970472.55
2018-04-08,384.61,404.1,384.61,399.9,61747.81,24419086.11
2018-04-09,388.0,432.0,399.9,398.8,127435.23,51553120.82
2018-04-10,392.25,418.26,398.8,415.45,68843.53,27867928.26
2018-04-11,410.11,433.83,415.45,430.81,88765.33,37324786.17
2018-04-12,413.81,497.0,430.81,493.41,238534.71,109178070.48
2018-04-13,481.18,529.36,493.41,495.22,224849.04,113460455.58
2018-04-14,488.0,513.86,495.22,502.4,76110.4,38140848.54
2018-04-15,502.4,534.57,502.4,533.74,97808.95,50914422.3
2018-04-16,498.29,537.5,533.74,511.28,127908.24,65529419.96
2018-04-17,500.49,521.94,511.28,502.42,93836.96,47877821.66
2018-04-18,501.2,526.49,502.42,525.89,95960.78,49352794.85
2018-04-19,521.18,569.95,525.89,567.29,127263.97,69420999.5
2018-04-20,557.4,622.22,567.29,617.17,177316.95,103958082.68
2018-04-21,572.0,624.21,617.17,605.16,100181.66,60376723.18
2018-04-22,590.7,643.47,605.16,621.0,90613.77,56641400.73
2018-04-23,618.7,647.47,621.0,642.85,91745.79,58590990.78
2018-04-24,642.85,711.0,642.85,703.38,200066.58,137803751.2
2018-04-25,578.75,704.0,703.38,617.49,324125.26,206525892.91
2018-04-26,600.0,666.82,617.49,661.13,141137.95,88742659.25
2018-04-27,639.25,685.91,661.13,642.77,111601.09,74188522.16
2018-04-28,638.7,692.58,642.77,682.0,73630.47,49824657.9
2018-04-29,666.04,696.71,682.0,687.51,66129.72,45186766.99
2018-04-30,662.11,692.45,687.51,669.81,88961.29,60528460.58
2018-05-01,627.2,675.01,669.81,670.75,150245.28,97704474.51
2018-05-02,660.63,689.98,670.75,685.02,97029.73,65675595.56
2018-05-03,684.0,784.76,685.02,775.51,181350.16,133925587.25
2018-05-04,757.1,805.31,775.51,783.01,142869.13,111563538.97
2018-05-05,778.5,824.67,783.01,812.0,93785.39,75657582.61
2018-05-06,750.7,828.97,812.0,784.28,99318.87,78244583.06
2018-05-07,695.12,789.98,784.28,752.42,212962.73,156762360.11
2018-05-08,720.0,776.0,752.42,746.99,122721.47,91650830.07
2018-05-09,708.8,759.5,746.99,750.0,96171.49,70841297.13
2018-05-10,723.01,768.0,750.0,723.51,83048.8,62084388.22
2018-05-11,662.6,735.19,723.51,678.05,175277.2,121383936.12
2018-05-12,638.88,692.39,678.05,684.66,101042.73,67654109.5
2018-05-13,671.0,740.31,684.66,729.29,78546.64,55933865.29
2018-05-14,684.8,745.0,729.29,726.9,154997.01,111296760.99
2018-05-15,694.75,738.0,726.9,706.08,92613.08,66727835.57
2018-05-16,677.55,710.44,706.08,707.45,83332.92,57790727.85
2018-05-17,661.0,717.17,707.45,668.56,77681.37,53802364.81
2018-05-18,656.5,694.71,668.56,694.5,80879.45,54698883.51
2018-05-19,677.7,715.76,694.5,695.96,44895.71,31311407.72
2018-05-20,687.7,723.0,695.96,714.0,48768.95,34675570.97
2018-05-21,686.52,717.0,714.0,696.77,46748.57,32841915.46
2018-05-22,638.0,699.0,696.77,640.5,94466.09,62992057.21
2018-05-23,563.27,648.46,640.5,577.2,196828.45,118757430.45
2018-05-24,545.36,609.21,577.2,603.0,132716.79,77524898.56
2018-05-25,568.27,616.0,603.0,584.02,95334.71,56644888.27
2018-05-26,577.65,606.0,584.02,584.99,43858.88,26036976.23
2018-05-27,556.0,589.5,584.99,570.75,52997.24,30324539.02
2018-05-28,507.0,575.0,570.75,511.33,110242.59,58603747.26
2018-05-29,510.91,573.53,511.33,566.66,130626.85,71471747.75
2018-05-30,541.23,585.92,566.66,557.22,94445.54,52961594.41
2018-05-31,553.6,589.0,557.22,577.1,93197.14,53537536.55
2018-06-01,561.49,588.0,577.1,578.89,89495.25,51239474.38
2018-06-02,571.75,600.0,578.89,590.46,60266.15,35320118.74
2018-06-03,590.46,627.83,590.46,618.63,48953.48,30045741.8
2018-06-04,576.28,626.55,618.63,591.5,63602.98,37958150.51
2018-06-05,574.77,612.0,591.5,607.6,70392.81,41915296.42
2018-06-06,592.76,611.69,607.6,606.18,67121.97,40416713.5
2018-06-07,594.01,615.26,606.18,603.56,79195.76,47915825.96
2018-06-08,591.0,607.0,603.56,598.59,37162.46,22280071.08
2018-06-09,591.81,608.0,598.59,593.41,25904.5,15573870.9
2018-06-10,505.0,593.41,593.41,525.25,131453.48,71125138.71
2018-06-11,509.97,536.85,525.25,531.68,109138.53,57128600.42
2018-06-12,485.0,538.99,531.68,494.14,115569.97,58847310.41
2018-06-13,450.11,502.4,494.14,476.02,160593.09,76212244.03
2018-06-14,459.46,529.34,476.02,519.75,207991.19,103522954.18
2018-06-15,482.0,521.0,519.75,487.45,96893.05,48506479.26
2018-06-16,484.12,502.81,487.45,497.31,42779.8,21176859.4
2018-06-17,493.33,507.83,497.31,496.5,34226.38,17120744.25
2018-06-18,488.0,525.0,496.5,517.47,70868.48,35923728.96
2018-06-19,514.45,547.4,517.47,538.5,69096.18,36680610.65
2018-06-20,516.67,541.8,538.5,536.0,58479.66,30931573.3
2018-06-21,521.5,544.23,536.0,525.49,48892.68,26032187.41
2018-06-22,449.02,525.65,525.49,462.01,151090.1,72216362.11
2018-06-23,457.87,481.74,462.01,475.17,47244.56,22260871.06
2018-06-24,421.1,476.9,475.17,454.79,142862.65,63789853.15
2018-06-25,445.0,473.27,454.79,458.41,80945.37,37157310.24
2018-06-26,429.0,460.72,458.41,429.08,74938.63,33392996.37
2018-06-27,420.12,446.0,429.08,441.41,69995.83,30243406.12
2018-06-28,417.0,443.78,441.41,420.0,55866.2,24089323.95
2018-06-29,404.22,442.0,420.0,434.6,94907.82,39610851.79
2018-06-30,434.5,462.49,434.6,453.29,57061.02,25635348.33
2018-07-01,444.85,455.87,453.29,451.43,33616.5,15146943.94
2018-07-02,442.79,481.98,451.43,476.34,68661.24,32025850.13
2018-07-03,459.31,486.76,476.34,461.75,67116.85,31705086.4
2018-07-04,451.35,482.01,461.75,466.9,56448.95,26343207.39
2018-07-05,457.85,477.99,466.9,467.25,53857.11,25244986.39
2018-07-06,451.68,474.99,467.25,469.3,40899.9,19062799.82
2018-07-07,462.0,486.69,469.3,484.48,31689.56,14927137.74
2018-07-08,479.31,494.74,484.48,486.08,38259.09,18623873.16
2018-07-09,469.0,488.0,486.08,471.6,44924.79,21491496.64
2018-07-10,427.88,473.0,471.6,432.59,95651.51,42586650.82
2018-07-11,425.34,448.54,432.59,446.25,66210.14,29106538.05
2018-07-12,418.23,447.17,446.25,431.46,49757.95,21457578.16
2018-07-13,425.1,442.31,431.46,432.8,50436.29,21933016.06
2018-07-14,428.13,439.99,432.8,434.13,23906.65,10379674.15
2018-07-15,431.29,454.21,434.13,449.41,33325.87,14852359.05
2018-07-16,444.05,479.92,449.41,478.18,63612.87,29769353.57
2018-07-17,466.1,510.79,478.18,499.01,92119.31,45062392.53
2018-07-18,468.85,515.88,499.01,478.81,94827.67,46779563.77
2018-07-19,462.16,483.88,478.81,468.39,50581.94,23880537.85
2018-07-20,441.0,468.73,468.39,448.21,61048.59,27847066.85
2018-07-21,442.0,468.85,448.21,461.5,31111.47,14278165.26
